2022/07/20 20:47:24 [error] 7#0: *1 directory index of "/data/dist/" is forbidden, client: 192.168.3.68, server: localhost, request: "GET / HTTP/1.1", host: "192.168.3.181"
2022/07/20 20:47:24 [error] 7#0: *1 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 192.168.3.68, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 20:47:31 [error] 7#0: *2 directory index of "/data/dist/" is forbidden, client: 192.168.3.68, server: localhost, request: "GET / HTTP/1.1", host: "192.168.3.181"
2022/07/20 20:47:31 [error] 7#0: *2 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 192.168.3.68, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 20:47:51 [error] 7#0: *3 directory index of "/data/dist/" is forbidden, client: 192.168.3.68, server: localhost, request: "GET / HTTP/1.1", host: "192.168.3.181"
2022/07/20 20:47:51 [error] 7#0: *3 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 192.168.3.68, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 20:50:09 [error] 7#0: *4 directory index of "/data/dist/" is forbidden, client: 192.168.3.68, server: localhost, request: "GET / HTTP/1.1", host: "192.168.3.181"
2022/07/20 20:50:09 [error] 7#0: *4 rewrite or internal redirection cycle while internally redirecting to "/index.html", client: 192.168.3.68, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:11:42 [error] 7#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:11:42 [error] 7#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae HTTP/1.1", upstream: "http://172.18.0.20:7777/member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:11:42 [error] 7#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae HTTP/1.1", upstream: "http://172.18.0.21:7777/member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:11:42 [error] 7#0: *1 open() "/etc/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae HTTP/1.1", upstream: "http://172.18.0.21:7777/member/checkLogin?token=04d55846-5aab-4659-a16e-70d1e8089aae", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:41:52 [error] 7#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:41:57 [error] 7#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:53:40 [error] 7#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:53:40 [error] 7#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.20:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:53:40 [error] 7#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.21:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:53:46 [error] 7#0: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.21:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:53:46 [error] 7#0: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.20:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 21:53:46 [error] 7#0: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:03:09 [error] 7#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:03:09 [error] 7#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.20:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:03:09 [error] 7#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.21:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:03:19 [error] 7#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.21:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:03:19 [error] 7#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.20:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:03:19 [error] 7#0: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:04:36 [error] 7#0: *11 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.19:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
2022/07/20 22:04:36 [error] 7#0: *11 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.3.68, server: localhost, request: "GET /member/checkLogin HTTP/1.1", upstream: "http://172.18.0.20:7777/member/checkLogin", host: "192.168.3.181", referrer: "http://192.168.3.181/"
